ID,CATEGORIA,TITOLO,AUTORE,CASA_EDITRICE,ANNO_PUBBLICAZIONE,NOTE,SCOMPARTO
1,AcomeAmoreDoloreMorte,Dove si nasconde la salute,Gadamer Hans-Georg,Raffaello Cortina Ed.,1993,test,
2,AmoreDoloreMorte,Lo scambio simbolico e la morte,Baudrillard Jean,Feltrinelli,1976,,
3,AmoreDoloreMorte,Così vivamo ora (Amicizia e AIDS),Sontag Susan,La Tartaruga Edizioni,1986,,
4,AmoreDoloreMorte,Pensare la morte?,Jankélévitch Vladimir,Raffaello Cortina Editore,1994,,
5,AmoreDoloreMorte,La voglia di guarire. Nuove tecniche psicologiche per capire la malattia e conquistare la salute,Mastronardi Luigi,Armenia,2007,,
6,AmoreDoloreMorte,Davanti al dolore degli altri,Sontag Susan,Mondadori,2003,,
7,AmoreDoloreMorte,Malattia come metafora. Il cancro e  la sua mitologia,Sontag Susan,Einaudi,1977,,
8,AmoreDoloreMorte,Modi di morire,Heath Iona,Bollati Boringhieri,2008,,
9,AmoreDoloreMorteAlzheimer,Cara Nonna. L'Alzheimer spiegato ai bambini,Lavallè Sandrine,Alzheimer Europe,1999,,
10,AmoreDoloreMorteAlzheimer,Tradimento e fedeltà. Il primo libro dell'Alzheimer,Finzi Sergio,Moretti e Vitali Editori,2008,,
11,AmoreDoloreMorteAlzheimer,La nuova cura per anziani e affetti da demenza o Alzheimer,Basting Anne,Vallardi,2023,,
12,AmoreDoloreMorteAlzheimer,Perdutamente. Una famiglia alle prese con l'alzheimer,Pagano Flavio,Giunti,2013,,
13,AmoreDoloreMorteCuraCancro,"Cancro, 10 anni di immunoterapia. Com'è cambiata la lotta ai tumori fra successi, speranze e nuove sfide","Boldrini Mauro, Marchetti Paolo",CAIRO,2021,,
14,AmoreDoloreMorteCuraCancro,Stelle solitarie,Marconi Cristina,Einaudi,2024,,
15,AmoreDoloreMorteCuraCancro,Psicologia e tumori. Una guida per reagire,"Grassi Luigi, Costantini A., Biondi M.",Il Pensiero Scientifico Editore,1998,,
16,AmoreDoloreMorteCuraCancro,Prendersi cura. Custodire la persona nel tempo della malattia,Aramini Michele,Ed. Paoline,2009,,
17,AmoreDoloreMorteCuraCancro,Confini morali. Un argomento politico per l'etica della cura,Tronto Joan C,Diabasis,1993,,
18,AmoreDoloreMorteCuraCancro,"Quello che serve. Un racconto tra malattia, cura e Servizio Sanitario",Cirri Massimo D'ambros Chiara,Manni,2022,,
19,AmoreDoloreMorteCuraCancro,Filosofia della cura,Mortari Luigina,Raffaello Cortina Editore,2015,,
20,AmoreDoloreMorteCuraCancro,Scelte sulla vita. L'esperienza di cura nei reparti di terapia intensiva,Bertolini Guido (a cura di),Guerini Studio,2007,,
21,AmoreDoloreMorteCuraCancro,Il disagio psichico in oncologia,Grassi Luigi (a cura di),Spazio Libri Edizioni,1993,,
22,AmoreDoloreMorteCuraCancro,La relazione d'aiuto. Alla ricerca della propria umanità,Ventre Antonio,EDB,2005,,
23,AmoreDoloreMorteCuraCancro,Saper accompagnare. Aiutare gli altri e se stessi ad affrontare la morte,Ostaseski Frank,Mondadori,2005,,
24,AmoreDoloreMorteCuraCancro,Salute! Curare la sofferenza con l'allegria e con l'amore,Adams Patch,Feltrinelli,2017,,
25,AmoreDoloreMorteCuraCancro,Il giudizio medico,Ricoeur Paul,Morcelliana,1996,,
26,AmoreDoloreMorteCuraCancro,"Ho scelto di guarire. Un viaggio dal cancro alla rinascita attraverso le chiavi della Metamedicina, della Psicologia, della Consapevolezza e dell'Amore",Milano Serena,Anima Edizioni,2012,,
27,AmoreDoloreMorteCuraCancro,L'imperatore del male. Una biografia del cancro,Mukherjee Siddhaetha,Mondadori,2010,,
28,AmoreDoloreMorteCuraCancro,Gli incerti battiti del cuore,Rainero Fassati Luigi,Longanesi,2011,,
29,AmoreDoloreMorteCuraCancro,Aver cura di sé,Mortari Luigina,Raffaello Cortina Ed.,2019,,
30,AmoreDoloreMorteDolore,L'esperienza del dolore. Le forme del patire nella cultura occidentale,Natoli Salvatore,Feltrinelli,1999,,
31,AmoreDoloreMorteDolore,Il male. Storia naturale e sociale della sofferenza,Boncinelli E.,Mondadori,2007,,
32,AmoreDoloreMorteDolore,Liberi dal dolore. La sofferenza fisica e le nuove terapie per curarla,Bonezzi Cesare,Mondadori,2002,,
33,AmoreDoloreMorteDolore,Affrontare il dolore fisico,Shone Neville,Calderini,1994,,
34,AmoreDoloreMorteDolore,"No al dolore. Origine e significato del dolore. Cosa fare, cosa non fare, a chi rivolgersi per combattere la sofferenza fisica","Baldissera Fausto, Pace Giovanni Maria",Feltrinelli,1980,,
35,AmoreDoloreMorteDolore,Capire il dolore. Perché la sofferenza lasci spazio alla gioia,Andreoli Vittorino,Rizzoli,2003,,
36,AmoreDoloreMorteEutanasia,Eutanasia uscita di sicurezza,Humphry Derek,Elèuthera,1991,,
37,AmoreDoloreMorteEutanasia,Pensare l'eutanasia,Goffi Jean-Yves,Einaudi,2004,,
38,AmoreDoloreMorteEutanasia,"Vite sospese. Eutanasia, un diritto? Vivere o morire dopo il caso Welby",Pannitteri Adriana,Aliberti editore,2007,,
39,AmoreDoloreMorteEutanasia,Manifesto per una morte dolce,"Jaccard Roland, Thevoz Michel",EDT,1992,,
40,AmoreDoloreMorteEutanasia,Sospesi. Una lettura antropologica dell'eutanasia,Verga Marfisi Federica,Fondazione Ariodante Fabretti,2011,,
41,AmoreDoloreMorteMorire,La morte si fa social. Immortalità memoria e lutto nell'epoca della cultura digitale,Sisto Davide,Bollati Boringhieri,2018,,
42,AmoreDoloreMorteMorire,"L'assistenza al morente. Aspetti socioculturali, medicoassistenziali e pastorali","Sgreccia E. , Spagnolo A. G. , Di Pietro M. l.",Vita e pensiero,1994,,
43,AmoreDoloreMorteMorire,Della Dignità del Morire. Una difesa della libera scelta,Kung Hans,Rizzoli,1995,,
44,AmoreDoloreMorteMorire,"Il teatro dell'immortalità. Mortalità, immortalità e altre strategie",Bauman Zygmunt,Il Mulino,1992,,
45,AmoreDoloreMorteMorire,Ognuno ha tante storie. Sostegno ai pazienti oncologici e alle loro famiglie,AAVV,GL Editore Piacenza,2011,,Libreria Piccola 9°
46,AmoreDoloreMorteMorire,La morte e il morire,Kubler-Ross Elisabeth,Cittadella Editrice,1976,,
47,AmoreDoloreMorteMorire,"Vivere il tramonto. Paure, bisogni e speranze dinanzi alla morte",Pangrazzi Arnaldo,Erickson,2006,,
48,AmoreDoloreMorteMorire,La morte del prossimo,Zoja Luigi,Einaudi,2009,,
49,AmoreDoloreMorteMorire,La parola al paziente. Il consenso informato e il rifiuto delle cure,"De Tilla Maurizio, Militerni Lucio, Veronesi U.",Sperling & Kupfer,2008,,
50,AmoreDoloreMorteMorire,Per una pedagogia della morte,Malavasi Pierluigi,Cappelli Editore,1985,,
51,AmoreDoloreMorteMorire,Il grande forse. Da Socrate a Hal 9000 una memorabile antologia sull'arte del trapasso,Paronuzzi Alessandro (a cura di),Ancora Editrice,2001,,
52,AmoreDoloreMorteMorire,Testamento (anche) biologico,De Giorgi Fulvio,Il Margine,2009,,
53,AmoreDoloreMorteMorire,La morte amica. Lezioni di vita da chi sta per morire. Prefazione di Francoise Mitterrand,De Hennezel Marie,Rizzoli,1995,,
54,AmoreDoloreMorteMorire,Contro la morte. Psicologia ed etica dell'aiuto ai morenti,Campione Francesco,CLUEB,2003,,
55,AmoreDoloreMorteNarr,Una questione di morte e di vita,"Yalom Irvin D. , Yalom Marilyn",Neri Pozza,2021,,
56,AmoreDoloreMorteNarr,Oscura luminosissima notte (Libro+DVD),Chiara M.,Edizioni San Paolo,2008,Libro + FILM,
57,AmoreDoloreMorteNarr,Nascita di un ponte,De Kerangal Maylis,Feltrinelli,2010,,
58,AmoreDoloreMorteNarr,La vita è una ferita assurda,Glantz Margo,Giunti,2002,,
59,AmoreDoloreMorteNarr,Corniche Kennedy,De Kerangal Maylis,Feltrinelli,2018,,
60,AmoreDoloreMorteNarr,Avrò cura di te. Quando si diventa genitori dei propri genitori,Fontanel Sophie,Mondadori,2010,,
61,AmoreDoloreMorteNarr,Chiedo scusa,Abate Francesco Mastrofranco Saverio,Einaudi,2010,,
62,AmoreDoloreMorteNarr,Blue nights,Didion Joan,Il Saggiatore,2011,,
63,AmoreDoloreMorteNarr,Riparare i viventi,De Kerangal Maylis,Feltrinelli,2015,,
64,AmoreDoloreMorteNarr,Al giardino ancora non l'ho detto,Pera Pia (GRANDE),Ponte alle Grazie,2016,,
65,AmoreDoloreMorteNarr,I miei piccoli dispiaceri,Toews Miriam,Marcos y Marcos,2014,,
66,AmoreDoloreMorteNarr,Diario di un dolore,Lewis C. S. (GRANDE),Adelphi,1961,,
67,AmoreDoloreMorteNarr,La scelta di Edith. Una psicologa sopravvissuta ai lager ci insegna a superare i traumi del passato attraverso la resilienza,Eger Edith Eva,Corbaccio Editore,2017,,
68,AmoreDoloreMorteNarr,Il periodo del silenzio,Manfredi Francesca,La nave di Teseo,2024,,
69,AmoreDoloreMorteNarr,Lo specchio coperto. Diario di un lutto,Loewenthal Elena (GRANDE),Bompiani,2015,,
70,AmoreDoloreMorteNarr,Il talento del dolore,Miller Andrew,Club degli editori,1997,,
71,AmoreDoloreMorteNarr,"Braccialetti rossi. Il mondo Giallo. Se credi nei sogni, i sogni si creeranno. Il libro da cui è stata tratta la fiction in onda su RAI 1",Espinosa Albert,Salani Editore,2008,,
72,AmoreDoloreMorteNarr,Fiorire d'inverno. La mia storia,Toffa Nadia,Mondadori,2018,,
73,AmoreDoloreMorteNarr,La linea verticale,Torre Mattia,Baldini Castoldi Dalai Editore,2017,,
74,AmoreDoloreMorteNarr,"Il senso del tumore per la vita. Un anno nel reparto ""Rari e stravaganti""",Colonnello Paolo,Quattro D,2016,,
75,AmoreDoloreMorteNarr,Cecità,Saramago Josè,Feltrinelli,1995,,
76,AmoreDoloreMorteNarr,Cosa sognano i pesci rossi,Venturino Marco,Mondadori,2005,,
77,AmoreDoloreMorteNarr,Una gioia feroce,Chalandon Sorj,Keller,2019,,
78,AmoreDoloreMorteNarr,La vita senza limiti. La morte di Eluana in uno stato di diritto,"Englaro B. , Pannitteri A.",Rizzoli,2009,,
79,AmoreDoloreMorteNarr,Caduto fuori dal tempo,Grossman David,Mondadori,2011,,
80,AmoreDoloreMorteNarr,Un complicato atto d'amore,Toews Miriam,Adelphi,2004,,
81,AmoreDoloreMorteNarr,Svegliami a mezzanotte,Marino Fuani,Einaudi,2019,,
